KO00010	KO00020	KO00030	KO00040	KO00051	KO00052	KO00053	KO00061	KO00062	KO00071	KO00100	KO00120	KO00130	KO00140	KO00190	KO00195	KO00230	KO00240	KO00250	KO00260	KO00270	KO00280	KO00281	KO00290	KO00300	KO00310	KO00311	KO00312	KO00330	KO00340	KO00350	KO00351	KO00360	KO00361	KO00362	KO00380	KO00400	KO00430	KO00440	KO00450	KO00480	KO00500	KO00510	KO00511	KO00513	KO00520	KO00521	KO00522	KO00523	KO00531	KO00532	KO00534	KO00540	KO00550	KO00561	KO00562	KO00563	KO00564	KO00565	KO00590	KO00600	KO00601	KO00603	KO00620	KO00621	KO00622	KO00624	KO00625	KO00627	KO00630	KO00633	KO00640	KO00643	KO00650	KO00660	KO00670	KO00680	KO00710	KO00720	KO00730	KO00740	KO00750	KO00760	KO00770	KO00780	KO00785	KO00790	KO00791	KO00830	KO00860	KO00900	KO00903	KO00906	KO00908	KO00909	KO00910	KO00920	KO00930	KO00940	KO00941	KO00945	KO00960	KO00970	KO00983	KO00984	KO01040	KO01053	KO02010	KO02020	KO02030	KO02040	KO02060	KO03008	KO03010	KO03013	KO03015	KO03018	KO03020	KO03022	KO03030	KO03040	KO03050	KO03060	KO03070	KO03410	KO03420	KO03430	KO03440	KO03450	KO04010	KO04011	KO04012	KO04020	KO04064	KO04066	KO04070	KO04075	KO04080	KO04110	KO04111	KO04112	KO04113	KO04114	KO04120	KO04122	KO04130	KO04141	KO04142	KO04144	KO04145	KO04146	KO04151	KO04210	KO04260	KO04270	KO04310	KO04320	KO04330	KO04350	KO04360	KO04510	KO04514	KO04520	KO04530	KO04540	KO04610	KO04614	KO04621	KO04622	KO04626	KO04650	KO04666	KO04740	KO04810	KO04910	KO04940	KO04962	KO04970	KO04973	KO04974	KO04975	KO05010	KO05012	KO05014	KO05016	KO05020	KO05030	KO05032	KO05034	KO05100	KO05110	KO05111	KO05120	KO05130	KO05132	KO05134	KO05142	KO05143	KO05144	KO05146	KO05150	KO05200	KO05202	KO05203	KO05204	KO05215	KO05219	KO05322	KO05340	KO05410	KO00232	KO00512	KO00514	KO00591	KO00592	KO03320	KO04013	KO04060	KO04115	KO04140	KO04150	KO04340	KO04380	KO04512	KO04612	KO04630	KO04710	KO04742	KO04744	KO04972	KO04976	KO05145	KO05160	KO05162	KO05168	KO00904	KO04670	KO04745	KO05222	KO00460	KO00623	KO04950	KO04964	KO05133	KO04930
R5310_S11	10113	4935	5795	6720	6903	12174	218	4354	0	30	1	276	901	100	9955	0	14762	7740	20614	13206	11289	3409	519	7233	7046	157	45	16	8569	5426	982	0	1512	9	305	210	4717	8	330	748	1002	8945	362	1548	0	9523	4521	2	2	190	0	0	2032	6520	2467	370	0	2479	0	64	0	12	0	7280	0	0	3	3	45	1482	48	104	0	540	93	2321	1474	15	1165	2991	1934	1333	3807	2327	1863	158	1053	82	5	5591	4804	0	2	619	0	278	477	20	4066	1	0	17	28055	248	0	6	93	27598	8717	9127	5942	3607	0	14600	579	4	10209	10502	0	8560	2	2	958	7865	2801	6688	2588	7226	0	0	109	0	4	0	1656	413	0	2	0	0	7768	93	0	2	2256	0	65	1707	0	10	2123	1449	11	0	0	0	1	0	0	0	5	0	0	1	0	0	0	2	9	1159	0	1	1	0	321	45	0	0	0	481	0	41	5	0	0	0	0	3	0	0	0	227	1940	0	9	801	0	0	0	4	55	79	1	809	0	50	8	1	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5311_S12	16724	11651	8689	12296	14487	22904	427	8778	0	13	0	429	2629	216	18858	0	27919	14328	41314	25745	18095	6441	1554	10986	11320	160	41	30	15524	10710	1106	0	1306	5	697	335	9129	10	316	1183	1985	12049	825	2286	0	13051	9792	0	0	625	2	0	5730	11612	2419	217	0	4334	0	39	0	0	0	11709	0	0	2	1	25	2331	89	238	0	1042	32	6308	2269	29	1524	6869	3174	2658	7600	4076	4332	499	2573	41	54	9536	8314	0	26	1270	0	564	344	13	8603	3	0	163	50805	194	0	9	138	24523	13101	5720	3652	3022	0	26762	644	2	19398	18013	0	14619	0	1	2307	14523	4902	11638	4187	13835	0	0	309	0	0	0	2962	937	0	0	0	0	12085	98	0	4	2408	0	62	4157	3	3	5965	1990	19	1	0	0	0	0	0	0	6	0	0	7	0	0	0	0	1	2227	0	0	0	0	186	359	0	0	0	1856	0	109	1	0	0	0	0	2	0	0	0	419	4236	0	17	2316	0	0	1	11	72	59	0	1144	9	99	5	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
R5312_S13	12333	5802	7799	8549	9074	15087	350	5014	0	22	0	369	930	143	11436	0	18508	10318	25726	16129	14330	4405	529	9300	8703	218	29	51	10820	6331	1371	0	1859	14	298	242	5809	11	410	842	1194	10986	442	1951	0	12417	5571	1	3	208	1	0	2288	8082	2737	498	0	3197	0	72	0	3	0	9066	0	0	2	3	70	1950	97	191	1	952	162	2808	1997	24	1754	3334	2010	1475	4860	2807	1956	184	1155	92	8	6871	5607	1	5	658	0	352	640	21	5330	0	0	53	34928	278	0	1	121	37770	12118	11657	8323	4470	0	18510	815	0	12767	12942	0	10434	1	4	1141	10458	3489	8596	3321	9279	1	3	135	0	3	0	2296	466	1	12	1	0	9416	144	0	2	3145	0	38	1995	7	15	2644	1556	13	2	0	1	2	0	1	0	15	1	0	0	0	0	1	2	6	1370	0	1	0	0	366	60	0	0	0	447	0	30	3	0	0	0	0	6	0	1	0	220	2289	0	16	984	0	3	1	10	100	139	1	1052	8	29	7	0	173	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R5313_S14	15010	6063	9957	10749	10883	18962	441	6326	13	44	2	493	1096	170	12672	0	20173	10980	29019	18304	15484	4840	521	11343	9680	283	73	116	11938	7479	1667	0	2470	18	520	208	7528	23	730	1131	1336	13731	509	2360	0	15152	6615	1	0	319	0	0	2613	9983	2495	522	0	3481	0	83	0	5	0	10248	0	0	0	1	56	2020	50	124	0	1605	26	3016	1816	20	1847	3472	2023	1573	5584	3079	2199	180	1516	113	16	6748	6716	0	9	712	0	333	601	32	8411	22	0	71	37072	359	0	6	97	43173	13744	16376	10606	3699	0	19789	934	0	14399	13923	0	11790	9	4	1546	10627	4077	9489	3843	10734	0	6	144	0	2	0	2479	606	2	0	3	0	11243	100	0	2	3287	0	47	2775	17	8	3130	1867	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	5	1408	0	0	0	0	521	86	0	0	0	715	0	36	0	1	0	0	0	0	0	0	0	277	2263	0	33	916	0	1	0	7	39	90	0	1274	8	33	16	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5314_S15	12910	7446	7543	8812	10350	15985	326	6131	0	32	1	371	1673	173	14214	0	21073	10824	29010	19266	15482	5439	896	9851	9503	172	38	33	11916	7920	1338	0	1332	8	429	284	7102	13	372	1017	1274	11053	472	1508	0	11900	6618	0	0	341	2	0	3471	9165	3033	472	0	3571	0	99	0	1	0	9618	0	0	6	3	45	2175	167	174	0	782	114	3609	2237	41	1659	4310	2582	1911	5334	3264	2837	243	1653	67	17	7737	6309	0	21	932	0	421	513	31	5862	10	0	70	39134	294	0	1	136	32652	12223	8845	6718	3940	0	20928	771	0	14275	14852	0	11973	1	2	1411	11533	4135	9799	3580	10415	0	6	201	0	2	0	2354	623	0	1	1	2	10346	80	0	2	2857	0	77	2398	4	3	3693	1801	9	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	2	1506	0	5	0	0	266	195	2	0	0	1003	0	24	5	0	0	0	0	2	0	2	0	289	2621	0	24	1294	0	1	1	16	41	134	1	1089	15	32	20	0	91	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5315_S16	14600	7339	8273	10490	10373	18686	343	6220	0	21	1	294	1560	158	13366	0	22165	11437	31219	19204	16805	5140	743	10580	10034	252	68	14	13223	8559	1286	0	1868	9	418	251	7063	17	447	1065	1495	11802	662	1647	1	12541	6631	0	2	269	2	0	3123	9578	2961	448	0	3675	0	74	0	0	0	10071	0	1	0	2	64	2235	136	188	1	1310	80	3596	2268	25	1661	4344	2685	2037	6030	3507	2779	237	1545	156	23	8278	6416	0	19	883	2	332	384	28	6244	5	1	81	39451	183	0	4	65	38141	12862	12191	8164	3518	0	21227	830	3	15278	14346	0	12824	1	1	1434	11557	4369	10151	3542	11297	0	2	237	0	5	0	2473	598	6	2	0	0	12573	179	0	5	3188	0	83	2535	31	5	3651	1821	4	3	0	0	0	0	0	0	3	0	0	5	0	0	0	4	3	1576	0	2	0	1	504	158	1	0	0	980	0	31	0	0	0	0	0	2	0	1	0	301	3150	0	39	1179	1	3	1	33	34	144	1	1069	23	32	35	2	166	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5316_S17	12684	7929	6697	8624	9987	15979	303	5938	0	21	0	394	1759	196	13282	0	21080	10994	28962	19208	15067	5186	921	9188	9191	157	56	26	11520	8055	1064	0	1228	14	492	237	7004	17	252	948	1516	10508	526	1398	0	11326	6841	1	17	210	0	0	3275	8684	2599	389	0	3401	0	41	0	0	0	9006	3	1	1	6	44	2040	95	144	0	772	71	4001	1982	15	1522	4646	2589	1761	5362	3305	2753	315	1524	85	57	8268	5986	0	14	903	0	442	659	3	5578	4	2	75	38559	293	1	5	171	27181	11573	8964	5534	3320	0	20147	652	3	14269	13119	0	11417	2	5	1465	11188	3809	9532	3291	10244	0	1	197	0	0	0	2478	618	2	0	0	0	9682	92	2	1	2534	0	71	2366	4	4	3909	1756	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	7	6	1527	0	3	0	4	301	178	7	0	0	1074	0	54	0	0	0	0	3	5	0	2	0	208	2883	0	17	1498	2	3	0	19	19	114	0	858	19	42	9	0	71	0	2	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5317_S18	13777	8700	7935	9818	11144	17620	429	6681	0	10	1	449	1977	146	14662	2	23135	11565	31383	20875	13951	5500	1206	8310	10078	193	83	18	12347	8234	1416	0	1235	21	426	322	6918	4	294	1122	1566	11170	551	1968	2	11449	7078	0	0	442	0	0	4132	9815	2382	381	0	3758	0	78	0	0	0	10194	0	0	2	3	78	1717	33	153	0	955	67	4388	2188	112	1562	5064	2371	2121	6148	3247	3042	389	1931	76	33	7202	6561	0	9	1095	0	371	490	14	6520	7	0	86	41084	297	0	2	91	28271	11936	5967	4039	4390	0	21885	746	0	15741	14475	2	12542	3	2	1628	11904	4212	11126	3911	11248	0	0	212	0	2	0	2559	821	8	0	0	0	10536	103	0	5	2704	0	55	3478	3	12	4037	1821	41	1	0	0	0	0	0	0	4	0	0	0	0	0	0	9	4	1829	0	0	0	3	257	188	0	0	0	1213	0	5	0	0	0	0	0	1	0	2	1	362	3371	0	6	1680	2	3	0	11	353	112	2	1095	18	63	7	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R5318_S19	9881	6379	5117	7300	8078	12259	222	4793	0	6	0	281	1548	172	11266	0	16697	8344	23535	15042	10992	4050	839	6987	7026	155	43	23	9478	6274	923	0	929	10	348	176	5392	6	323	718	1125	7813	468	1266	1	7994	5269	0	0	250	0	0	3259	7040	1498	173	0	2684	0	98	0	0	0	7458	0	0	1	0	33	1522	87	148	0	878	53	3160	1412	8	1161	3603	1919	1549	4538	2319	2099	200	1350	45	29	5246	4816	0	4	815	2	295	519	14	4654	10	0	51	30377	117	0	5	47	19148	8710	4354	3121	2353	0	15577	506	2	11377	10789	0	9287	2	4	1236	8400	2947	8188	2707	8127	0	7	136	1	5	0	1860	467	0	2	0	4	7854	60	1	2	1894	0	91	2209	8	2	3140	1380	11	1	0	0	0	0	0	0	5	0	0	0	5	0	0	5	11	1328	0	0	0	3	261	219	0	0	0	1010	0	2	2	1	1	0	0	4	0	0	0	187	2402	0	35	1264	0	0	1	29	54	117	0	714	11	18	12	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
R5319_S20	12128	9327	5943	8436	11299	15714	267	6476	5	21	0	345	2503	265	14995	0	22768	11415	31301	20692	13314	5810	1371	7406	9625	177	48	8	11906	8184	826	0	621	5	434	364	6778	4	220	867	1573	9040	798	1440	4	9389	7351	0	0	418	0	0	4836	9291	1583	137	0	3479	2	35	0	0	0	9459	0	0	2	1	24	1853	131	187	1	820	15	4493	1930	10	1262	5709	2627	2063	6142	3431	3541	456	2111	23	56	6776	6379	0	43	1198	18	501	421	10	5834	6	1	89	40946	112	0	9	72	17254	10581	2255	1569	1856	0	21063	528	0	15040	14078	0	11833	3	1	1728	11508	4014	10409	3576	10857	0	3	222	0	1	3	2488	706	2	2	2	0	9798	78	0	8	1900	0	101	3292	2	2	5160	1860	45	0	0	0	0	0	0	2	2	0	0	1	0	0	0	3	0	1529	0	0	0	1	129	403	1	0	0	1453	0	19	5	0	0	0	0	2	0	1	0	227	3619	0	40	1911	0	2	0	28	72	81	1	815	4	30	6	1	47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
